370859.5761	193089.6621
370859.8514	193089.5431
370860.1349	193089.4451
370860.425	193089.3687
370860.7199	193089.3142
370861.018	193089.2818
370861.3178	193089.272
370861.6175	193089.2846
370917.2547	193093.7352
370917.5494	193093.7909
370917.8391	193093.8685
370918.1223	193093.9676
370918.3971	193094.0877
370918.6622	193094.2279
370918.9161	193094.3877
370919.1572	193094.5661
370919.3843	193094.7619
370919.5961	193094.9743
370919.7914	193095.202
370919.9691	193095.4435
370920.1282	193095.6978
370920.2678	193095.9633
370920.3871	193096.2384
370920.4854	193096.5218
370920.5623	193096.8117
370920.6172	193097.1066
370920.6498	193097.4048
370920.6601	193097.7045
370920.6477	193098.0042
370920.6472	193098.0121
370919.5312	193111.867
370919.4751	193112.1617
370919.3972	193112.4512
370919.2978	193112.7342
370919.1774	193113.009
370919.0368	193113.2739
370918.8767	193113.5275
370918.6981	193113.7684
370918.5019	193113.9953
370918.2893	193114.2069
370918.0614	193114.4019
370917.8196	193114.5792
370917.5652	193114.738
370917.2995	193114.8773
370917.0241	193114.9962
370916.7407	193115.0943
370916.4507	193115.1707
370916.1558	193115.2252
370915.8575	193115.2575
370915.5578	193115.2674
370915.2581	193115.2548
370859.8973	193110.8359
370859.6209	193110.8042
370859.3261	193110.7485
370859.0364	193110.6708
370858.7534	193110.5718
370858.4785	193110.4517
370858.2134	193110.3114
370857.9596	193110.1517
370857.7183	193109.9734
370857.4913	193109.7775
370857.2794	193109.5651
370857.0842	193109.3375
370856.9065	193109.0958
370856.7474	193108.8416
370856.6079	193108.5761
370856.4885	193108.3009
370856.3902	193108.0176
370856.3133	193107.7277
370856.2585	193107.4328
370856.2258	193107.1347
370856.2155	193106.8349
370857.5009	193090.5859
370857.5016	193090.578
370857.5354	193090.28
370857.5914	193089.9853
370857.6693	193089.6957
370857.7688	193089.4128
370857.8892	193089.1381
370858.0297	193088.8731
370858.1898	193088.6195
370858.3684	193088.3786
370858.5646	193088.1516
370858.7773	193087.9401
370859.0051	193087.7451
370859.247	193087.5678
370859.5015	193087.409
